sample_ind,rho,sim_steps
42,4.3705643300810095,1219
43,4.36335089551889,1201
44,1.3946716981925213,1205
45,4.071655280453026,1224
46,1.9860408922393828,1208
47,3.2133666815743567,1212
48,1.6376301739745367,1211
49,4.363174706877791,1223
50,2.2146805101873337,1199
51,4.083780037591385,1212
52,2.4853078583262995,1215
53,4.62325916538577,1208
54,4.544493023261921,1201
55,3.6055093328504633,1225
56,3.145440165599325,1210
57,3.7633181083376854,1218
58,2.4886900099802753,1203
59,2.937389751715873,1216
60,2.7193649219588103,1211
61,-0.09093905167580019,2425
62,3.3490925132317386,1205
63,3.7145837857884825,1218
64,2.6621784619605844,1213
65,1.726923609791319,1315
66,4.495446460892277,1224
67,3.624252938684414,1198
68,3.1665548145461795,1208
69,-0.0484040674326911,618
70,4.121777851563602,1209
71,2.069576911667566,1206
72,3.6949139576956753,1235
