point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],rho
1.2890475516320106,41.0063419289981,-79.45578374579034,0.0,0.0,0.0,1.0,0.0,36.54081632653061,-22.62121212121212,1.383069015139,44.38064621124164,-68.4488552141197,0.0,0.0,3.3924922141257525
1.1734896206993106,41.1128158613627,-79.8775387509761,0.0,0.0,1.0,1.0,1.0,52.295918367346935,-13.227272727272727,1.3826836682841857,44.363479757410474,-68.4932016536117,0.0,0.0,2.8318130922289466
1.289194637452737,41.26527622203369,-78.8754130571717,0.0,0.0,0.0,1.0,0.0,36.234693877551024,-23.984848484848484,1.3812220963874895,44.446359727982475,-68.4585471510437,0.0,0.0,3.617067229895028
1.2086041560613394,41.526401650369245,-78.4737026078371,0.0,0.0,1.0,1.0,1.0,54.316326530612244,-21.560606060606062,1.353136993540659,43.97148141229139,-70.38792715470542,0.0,0.0,3.4140919960260074
1.2864233119822703,41.272077387001694,-79.02628276481433,0.0,0.0,0.0,0.0,1.0,36.90816326530612,-16.257575757575758,1.3805766686550993,44.44111769087769,-68.49704847322295,0.0,0.0,3.8762402652424885
1.280858620631969,41.31944078903638,-78.43159881102609,0.0,0.0,0.0,1.0,0.0,52.96938775510204,-21.863636363636363,1.3557793982559256,44.00787236560646,-70.23499177374627,0.0,0.0,3.5730396251386782
1.2768393683951502,41.41459818525324,-78.46786379211912,0.0,0.0,1.0,0.0,0.0,36.60204081632653,-23.227272727272727,1.3714209699508682,44.218722878315376,-69.17378717308335,0.0,0.0,4.659605516215953
1.2821069864056494,41.38501799559672,-78.4485180901676,0.0,0.0,1.0,0.0,0.0,38.316326530612244,-23.227272727272727,1.3813651737867856,44.411986209013115,-68.45923785581951,0.0,0.0,4.112073778345906
1.1790879633357716,41.120376412028634,-79.76082500788326,0.0,0.0,0.0,0.0,1.0,53.94897959183673,-19.893939393939394,1.381570352890836,44.421094242260054,-68.398086776347,0.0,0.0,2.853097704579529
1.2561855218597895,41.40354259137169,-78.45794318762172,0.0,0.0,0.0,1.0,0.0,51.92857142857143,-14.287878787878787,1.368443850789464,44.20377046670503,-69.35892871894313,0.0,0.0,4.470592215092019
1.1734896206993106,41.1128158613627,-79.8775387509761,0.0,0.0,1.0,0.0,0.0,52.173469387755105,-20.196969696969695,1.3826836682841857,44.363479757410474,-68.4932016536117,0.0,0.0,2.8296431247975615
1.2131819667768335,40.4553042896752,-80.34473140668108,0.0,0.0,1.0,0.0,0.0,36.11224489795919,-24.28787878787879,1.3824929743680054,44.363127973774695,-68.45434501942287,0.0,0.0,2.2259853376580665
1.1734896206993106,41.1128158613627,-79.8775387509761,0.0,0.0,0.0,0.0,1.0,37.275510204081634,-23.075757575757574,1.3826836682841857,44.363479757410474,-68.4932016536117,0.0,0.0,2.8303057476231093
1.2765120901857034,41.46306192796589,-78.4282189594634,0.0,0.0,1.0,0.0,0.0,37.70408163265306,-22.924242424242426,1.3515577431009373,43.92782846983196,-70.54073591063027,0.0,0.0,3.223053960884645
1.2231432035302139,41.443281079651456,-78.4265163765231,0.0,0.0,1.0,1.0,1.0,54.5,-25.5,1.3409984744549823,44.297180656804755,-70.27084917862358,0.0,0.0,3.5838005633447523
1.2303322937437657,41.608470782410635,-78.40137360626994,0.0,0.0,0.0,0.0,1.0,52.60204081632653,-10.954545454545453,1.3559986784531128,44.11449258526208,-70.0153872138125,0.0,0.0,3.720579118811097
1.317361536983951,40.74884366274255,-79.5947382701067,0.0,0.0,0.0,1.0,0.0,54.07142857142857,-16.409090909090907,1.382460959822116,44.36275241039622,-68.4990107213514,0.0,0.0,2.8896443931082185
1.2273703390006172,41.589541700324155,-78.40295506954138,0.0,0.0,1.0,0.0,0.0,35.744897959183675,-23.075757575757574,1.3463512559001531,43.844002205651876,-70.88267624274971,0.0,0.0,2.823706486216934
1.243466292595746,41.28843474393035,-78.47781281669789,0.0,0.0,0.0,0.0,1.0,37.94897959183673,-15.803030303030303,1.3528622095857101,44.38896656299603,-69.84964711918033,0.0,0.0,4.092139594393679
