sample_ind,rho,sim_steps
1,3.6396362935776825,1103
2,3.792618894175039,1098
3,4.07195281559053,1091
4,3.7223263711852823,1097
5,3.4806137870139597,1096
6,4.675126905851279,1101
7,3.587415724257541,1092
8,3.2965731559057616,1106
9,1.7672399818455258,1102
10,3.1644043868666447,1095
11,3.940959749376912,1103
12,2.336571845104319,1105
13,1.8224063417149292,1097
14,2.1753156520326113,1096
15,3.5486497386951523,1086
16,2.5889637689880454,1107
17,3.7160012230221113,1088
18,4.256009206331223,1099
19,3.997013370967071,1102
20,3.4478479203293357,1090
21,1.3260285420191629,1094
22,4.022108736444281,1093
23,2.3499964128951483,1099
24,4.316332721621963,1118
25,2.8114585995276933,1099
26,1.0474233091557004,1096
27,1.5713896146154367,1100
28,4.425231006881226,1103
29,3.5876015820541625,1101
30,2.449200878727998,1098
31,4.501169365633153,1111
32,1.947336975660562,1093
33,4.1016705905427155,1107
34,3.4357513328005176,1094
35,4.464893030395293,1100
36,4.625989718226609,1115
37,4.500641781187424,1101
38,3.9934555630142583,1108
39,2.679702376648774,1099
40,4.04600275972216,1102
41,4.636208447778252,1114
42,4.0278297349293695,1096
43,3.1252133337751395,1087
44,3.7682028773660345,1110
45,2.9758914871714497,1104
46,4.118289513538789,1106
47,2.4199460227205964,1102
48,2.2420336510388523,1094
49,1.7010801127905193,1092
50,4.029778757940459,1106
51,4.386583105466853,1090
52,1.7350074607081396,1089
53,3.8834134259686444,1092
54,4.294787735143961,1087
55,2.864330973089915,1087
56,3.6402816653823002,1096
57,3.661334088374689,1116
58,2.489655001949158,1097
59,2.1340216460522186,1090
60,3.78785559377933,1118
61,2.937609542689076,1101
62,2.2314738751137284,1102
63,4.202481953569185,1088
64,4.355260906698893,1120
65,4.276041360518935,1091
66,3.300934461843646,1089
67,3.720552424759296,1115
68,4.6651358500306355,1117
69,4.134873650832477,1103
70,3.3227298979087667,1114
71,1.9387931180848899,1095
72,4.118366091402294,1091
73,3.7984446423426377,1107
74,2.0296280479988376,1097
75,3.7830737075226253,1088
76,3.4726264396790665,1087
77,2.5459722872754664,1099
78,4.4276398529148615,1119
79,4.584831478890004,1121
80,3.0605143536337476,1087
81,4.140713985112498,1112
82,3.234031095362033,1097
83,3.7753522132287376,1108
84,3.589994942232794,1112
85,3.4247095733050497,1096
86,2.338927127962231,1098
87,4.071383244685311,1113
88,2.03995379467562,1088
89,3.160661044150494,1104
90,3.658938586229908,1118
91,1.973136976296379,1094
92,2.830664305529451,1090
93,4.553648535702083,1089
94,2.280933249675022,1095
95,3.7748016693780713,1098
96,4.082253494751088,1087
97,2.906178412672828,1109
98,4.171959840462591,1098
99,2.9937320880281657,1091
100,2.0234624977632123,1097
