ego_x,ego_y,ego_heading,lead_x,lead_y,lead_heading
-66.4566282266229,-104.09956225038341,-0.13122381459197352,-58.51746711956064,-104.9578373597059,-0.05492414227764742
-67.74551296703285,-104.0963860444587,-0.22284978657515178,-56.46083136482292,-105.51345816347683,-0.008310473962589382
-66.41544891728914,-105.08417989451733,-0.19063375459563286,-57.04121662914476,-105.48884472357581,-0.01852957216641395
-69.00358814009218,-103.49112072121616,-0.1646444278204316,-56.489339777020156,-105.2946850473772,-0.029277778494963
-66.4668584638722,-105.14170483554311,-0.17352332321133446,-57.21271122964299,-105.60711364511751,0.006253283435046553
-67.68944110147318,-104.55815413227505,-0.1670470064239212,-56.473906007639684,-105.5328704964029,-0.004451283404629713
-66.97145575507501,-103.28748903034953,-0.13894926314435485,-56.4572532183076,-105.06060955982089,-0.04925007371164959
-67.88332537407187,-104.98487482314711,-0.2023723693977132,-56.44898523692848,-105.57431413512968,0.008429645584432228
-66.41351855671833,-104.67376433772472,-0.21957980263463545,-57.38089714915613,-105.49467562152913,-0.019919046699885926
-66.4664326195233,-104.47833455201726,-0.2197987054509321,-57.45042066880266,-105.48255722313115,-0.022970092391245124
-66.6153991949001,-105.76816176267299,-0.16199968754126157,-56.48943805579538,-105.63277388407165,0.056948701359076155
-66.48886004656015,-104.95169457466969,-0.20403666105007795,-58.20260170857064,-105.52858761091201,-0.023886933842794365
-66.44863205439691,-104.8824976101171,-0.1866833771986776,-57.802260327802614,-105.50302502789387,-0.023184757283309702
-66.46981341500783,-105.26503461048078,-0.18159272982457567,-58.32780800509965,-105.57227601238262,-0.0165568251346156
-68.9236879655824,-103.60277170574429,-0.18934127963930028,-56.489950273297836,-104.87722624742932,-0.052892985765100986
-68.44074249829244,-104.27065429786154,-0.2501785320843675,-56.49742543393265,-105.62577658960227,0.016773990841700132
-66.85726067437852,-104.9207305174228,-0.185514970300995,-56.480772736361345,-105.50264262968125,-0.010433684255815607
-66.81149202474667,-104.47789573543226,-0.21600834414925038,-56.42500777694697,-105.513640407606,-0.007434783198360136
-66.45464085850563,-104.96449985880031,-0.1831280197626225,-58.22951524461507,-105.48550003629042,-0.02940579094084608
-66.81952143177642,-103.75328553107832,-0.1913247963204141,-56.435642647998414,-104.9992954336246,-0.0513606742945233
-66.46722592971437,-104.3851349457169,-0.1842582958646746,-56.819477260247794,-104.94168590980081,-0.055876020173775465
-67.81817947808393,-104.01450441655909,-0.19895838432861437,-56.42539333123692,-105.53627964496829,-0.0006619667501084068
-66.95828091612347,-105.0530979296093,-0.20652395664170778,-56.47546366866807,-105.50791885065237,-0.008400878847882277
-66.57772141256686,-104.56310109743303,-0.18191863746164785,-56.4954602343933,-104.89611289446222,-0.049012201259130396
-66.87743545889819,-104.54076796093366,-0.1762073244091923,-56.420845466547334,-104.90417828345365,-0.047107035516879205
-66.5291831447786,-104.33738889627452,-0.2045751968106838,-56.491934396723344,-105.51789817205847,-0.008344232911292862
-66.41401979797872,-104.74734612316219,-0.20766389932479945,-58.32551814584729,-105.4453503339083,-0.036041474385072936
