ego_x,ego_y,ego_heading,lead_x,lead_y,lead_heading
-66.47684798981633,-104.5696006496833,-0.19039824539173766,-57.98189154551821,-105.41128076529422,-0.03215312745631939
-66.47793698571452,-105.05584923623904,-0.22315957417025556,-57.41768543594964,-105.640226978808,0.008952133401997527
-68.91709120139807,-104.280333649161,-0.21645881391446564,-56.44261772697112,-105.55323182416154,-8.131438038017335e-05
-66.49045873960358,-104.88136527521327,-0.19946975327466834,-58.589524121539476,-105.49622649769155,-0.0308143912063371
-66.45336936027061,-104.86996265725843,-0.20960797800032335,-58.12455366292221,-105.5785496895359,-0.014188784578242394
-66.41940002864428,-104.44259874512906,-0.17514011766175874,-56.997538956411326,-105.47629729541855,-0.01718554374457813
-67.71302770867517,-104.54633072500366,-0.18055294581070094,-56.49299345009765,-105.50170490120102,-0.011753782691911133
-66.41347882497844,-104.1868202620127,-0.16809910879507553,-57.935875526562135,-104.89523614715745,-0.05919652935946296
-66.48397253545858,-104.62272157103355,-0.18767791079320598,-59.27465700473781,-105.39436007112886,-0.04592566696112017
-67.40466103106283,-105.36663370926865,-0.18997449695784352,-56.485271869514676,-105.638034388645,0.033410768636368424
-66.44635281163782,-105.37352474923973,-0.20332327658838456,-57.58374368535788,-105.66485495775085,0.011215961389078174
-68.95751459711589,-104.12348358258356,-0.2627931100473694,-56.45904789996926,-105.49971701340998,-0.011751162041665273
-66.47614167149493,-105.30056610028373,-0.16315235818715554,-56.4916658132853,-105.63798379488328,0.023028388581564762
-66.438555822258,-104.51917229876615,-0.21700247967753397,-56.78117456021911,-105.56901297875812,-0.0006942581916861043
-67.85016818831092,-105.27277389883409,-0.193437737878353,-56.47200433748054,-105.63643713999922,0.05029295591222475
-68.83713409001984,-104.24926198153507,-0.1836921776862237,-56.42713024115595,-105.52223040380873,-0.005281348279086055
-68.87697331717698,-103.6922316517214,-0.2358527773951795,-56.430703597829314,-104.99348653929098,-0.04893261267863975
-67.21275389446438,-104.27817414644485,-0.2108715217774257,-56.4277403505964,-105.43804310679275,-0.015617506560534192
-66.4464698592817,-103.81221416940929,-0.15791508306846955,-57.71708282588888,-104.94284022419225,-0.05679469802402639
-67.58342903438401,-104.34528107029804,-0.18717831944866303,-56.44058120700417,-105.51284159962724,-0.0042829019678078725
-66.52793608518144,-104.99560258147291,-0.22806317899840275,-56.44765834014783,-105.63186124335265,0.021510464846987702
-66.47875111200287,-104.36597738440501,-0.23551487995814982,-56.507320851268474,-105.64031265827549,0.025294313430665877
-66.45352745377812,-104.12501166121103,-0.1601275552626322,-56.91044413886116,-104.95660048696567,-0.051821924862004945
-67.2446482050434,-104.40374552602013,-0.22442311819821792,-56.44606697223553,-105.5145645807502,-0.0062290956210247035
-66.98394873297877,-105.23022754860489,-0.21100259284096756,-56.496436763729534,-105.64230488808062,0.04342901218212135
-66.44995560391114,-103.78295544732366,-0.15755748848511855,-56.79313835029479,-104.93781359992508,-0.05068560983686591
-68.92738977326495,-104.15110985617163,-0.2625347778548201,-56.42956043643859,-105.51832007545741,-0.00884358563224436
-68.46761473313728,-103.48664606696894,-0.21722171426368841,-56.44532969637045,-105.5305349487134,-0.004111196449246787
-67.31798232386764,-103.91197098668798,-0.1732063463472104,-56.41653919528881,-105.41634812760242,-0.018222247055642248
