point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.velocity[0],point.objects.object2.velocity[1],rho
-0.02410318022178147,-63.39735834144663,-105.20368770870016,0.0,0.0,-0.05083027163620947,-55.276367427529074,-105.51236494725455,0.0,0.0,2.935819704333986
-0.055432627031573985,-63.748137331675316,-105.12495536603662,0.0,0.0,-0.06915833552902004,-55.9110656319893,-104.3179939260785,0.0,0.0,2.699158380433495
-0.038014415994419085,-66.25034094067391,-105.65741757830692,0.0,0.0,0.0045823564092078595,-54.629424287605445,-105.67951909224438,0.0,0.0,2.7069184807417184
-0.08465214072647252,-64.77827969792546,-104.12876461899506,0.0,0.0,0.00776573824247508,-53.2826237320368,-104.71951779417118,0.0,0.0,2.5183149840303347
-0.0022148007896947678,-63.4672531645465,-105.26740021275448,0.0,0.0,-0.026365637511578985,-54.841849585024306,-105.29281237360041,0.0,0.0,3.6099864703029247
-0.06291948961517083,-63.91072408557747,-105.83748384535039,0.0,0.0,-0.02008074810378803,-52.71613377353662,-104.60826328183745,0.0,0.0,3.3814222879631455
0.01816743109869212,-63.612386473265154,-104.51962150868923,0.0,0.0,-0.060969425377196775,-55.04039884431628,-104.77060198388752,0.0,0.0,3.45022370552185
-0.005287895253662646,-66.43475613079048,-105.50415375041973,0.0,0.0,-0.04645341079756991,-52.95699763800698,-105.69242567444068,0.0,0.0,1.1599884722145397
0.025087758179936567,-63.306574026299025,-104.14987006071584,0.0,0.0,0.021936437123880395,-55.34921942270176,-104.54803447566664,0.0,0.0,2.7866384719298036
-0.03975121523415504,-65.17117278341276,-104.14314690885347,0.0,0.0,-0.07258030276028933,-54.994353316415065,-105.71032694235448,0.0,0.0,4.012346801046585
